# col1      z        survey   logLX   mag    
  0.507     0.93     22       43.26   -99.9  
  0.0414    0.732    22       41.93   -99.9  
  0.0967    0.729    22       42.29   -99.9  
  0.0832    3.717    22       43.83   -99.9  
  0.291     2.665    22       44.06   -99.9  
  0.596     0.73     22       43.09   -99.9  
  0.812     1.406    22       43.88   -99.9  
  1.14      3.103    22       44.8    -99.9  
  0.522     3.108    22       44.46   -99.9  
  0.16      0.765    22       42.56   -99.9  
  0.0379    1.933    22       42.86   -99.9  
  0.628     1.098    22       43.52   -99.9  
  1.87      1.536    22       44.33   -99.9  
  1.84      1.15     22       44.03   -99.9  
  0.1833    2.041    22       43.6    -99.9  
  0.812     2.59     8        44.48   -99.0  
  5.14      0.658    22       43.92   -99.9  
  0.616     0.882    22       43.29   -99.9  
  0.326     1.677    22       43.66   -99.9  
  6.67      0.376    22       43.47   -99.9  
  0.2956    0.703    22       42.74   -99.9  
  0.159     0.432    22       41.98   -99.9  
  0.354     1.058    22       43.23   -99.9  
  0.288     0.669    22       42.68   -99.9  
  1.49      1.102    22       43.9    -99.9  
  0.0848    1.01     8        42.57   -99.0  
  0.3049    1.434    22       43.47   -99.9  
  0.199     0.795    22       42.7    -99.9  
  0.277     2.746    22       44.07   -99.9  
  0.901     2.005    22       44.27   -99.9  
  0.069     3.471    22       43.68   -99.9  
  0.456     2.278    22       44.1    -99.9  
  1.91      0.8      22       43.68   -99.9  
  0.199     0.725    22       42.6    -99.9  
  0.4481    2.653    22       44.24   -99.9  
  0.0596    0.628    22       41.93   -99.9  
  0.204     0.608    22       42.44   -99.9  
  0.47      1.143    22       43.43   -99.9  
  0.129     1.238    22       42.95   -99.9  
  0.265     1.934    22       43.71   -99.9  
  1.44      2.779    22       44.79   -99.9  
  2.36      1.161    22       44.15   -99.9  
  9.66      0.519    22       43.95   -99.9  
  2.8634    0.699    22       43.72   -99.9  
  0.132     1.836    22       43.35   -99.9  
  1.2       0.959    22       43.66   -99.9  
  1.37      1.339    22       44.06   -99.9  
  0.13      2.921    22       43.8    -99.9  
  0.1875    0.427    22       42.05   -99.9  
  0.1823    0.693    22       42.52   -99.9  
  1.04      1.171    22       43.8    -99.9  
  0.04      1.241    22       42.45   -99.9  
  0.0641    1.828    22       43.04   -99.9  
  2.95      0.481    22       43.36   -99.9  
  0.1339    1.183    22       42.92   -99.9  
  0.0974    1.182    22       42.78   -99.9  
  0.0599    0.793    22       42.17   -99.9  
  0.4542    0.497    22       42.58   -99.9  
  0.0699    0.934    22       42.4    -99.9  
  1.81      1.669    22       44.4    -99.9  
  0.0855    1.951    22       43.23   -99.9  
  0.6036    2.953    22       44.47   -99.9  
  2.34      0.851    22       43.83   -99.9  
  0.0487    0.674    22       41.92   -99.9  
  0.255     1.322    22       43.31   -99.9  
  0.7715    1.841    22       44.12   -99.9  
  1.21      1.47     22       44.1    -99.9  
  0.0422    2.497    22       43.16   -99.9  
  0.0554    3.546    22       43.61   -99.9  
  0.055     2.046    22       43.08   -99.9  
  0.331     0.315    22       41.99   -99.9  
  2.28      0.733    22       43.67   -99.9  
  0.3059    1.188    22       43.29   -99.9  
  1.65      1.551    22       44.28   -99.9  
  0.07      0.853    22       42.31   -99.9  
  1.09      1.164    22       43.82   -99.9  
  0.225     0.961    22       42.94   -99.9  
  0.109     1.574    22       43.12   -99.9  
  0.2204    1.589    22       43.43   -99.9  
  0.0552    0.89     22       42.25   -99.9  
  4.67      0.345    22       43.23   -99.9  
  0.652     0.691    22       43.07   -99.9  
  0.244     0.845    22       42.84   -99.9  
  0.236     0.482    22       42.27   -99.9  
  0.514     1.19     8        43.51   -99.0  
  0.0462    0.789    22       42.05   -99.9  
  0.211     1.005    22       42.96   -99.9  
  0.526     0.419    22       42.48   -99.9  
  0.0741    0.792    22       42.26   -99.9  
  0.3461    1.826    22       43.77   -99.9  
  0.0774    1.26     8        42.75   -99.0  
  0.5799    1.334    22       43.68   -99.9  
  0.2338    2.836    22       44.02   -99.9  
  1.74      2.222    22       44.66   -99.9  
  0.221     3.322    22       44.15   -99.9  
  0.523     0.878    22       43.22   -99.9  
  0.353     0.217    22       41.66   -99.9  
  0.2       0.857    22       42.77   -99.9  
  1.61      0.551    22       43.23   -99.9  
  1.53      1.285    22       44.06   -99.9  
  0.458     3.038    22       44.38   -99.9  
  0.164     1.38     22       43.17   -99.9  
  2.55      0.821    22       43.84   -99.9  
  1.73      0.196    22       42.26   -99.9  
  0.225     2.05     8        43.69   -99.0  
  0.273     0.255    22       41.7    -99.9  
  0.557     0.982    22       43.35   -99.9  
  0.928     2.121    22       44.34   -99.9  
  0.663     3.144    22       44.57   -99.9  
